FINDING_ID,ASTRA_SEVERITY,START_STATUS,REMOTE_STATUS,CURRENT_STATUS,CURRENT_EVIDENCE,FIX_COMMIT_IF_ANY,ACTION_REQUIRED
ASTRA-001,P1,OPEN,OPEN,FIXED,bossman-core/bossman/runner.py; Контракт результата в legacy Core; ответ без действия получает answered/unverified; файл перечитывается независимо.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
ASTRA-002,P1,OPEN,PARTIALLY_FIXED,FIXED,bossman-core/bossman_v3/memory/journal.py; bossman-core/bossman_v3/execution/compound.py; Завершённый шаг принимается только с действительной подписью; подмена/старый неподписанный журнал блокируют resume.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
ASTRA-003,P1,OPEN,PARTIALLY_FIXED,FIXED,"bossman-core/bossman_v3/organization/bridges.py; Журнал привязан к полному плану, аргументам, ожиданиям, политикам и идентификатору действия.",aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
ASTRA-004,P1,OPEN,OPEN,FIXED,"bossman-core/bossman_v3/organization/contracts.py; bossman_shared/evidence.py; Подписанная улика содержит mission/work/contract/action/attempt, ожидания и время наблюдения; чужие, просроченные и будущие улики отвергаются.",aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
ASTRA-005,P1,OPEN,PARTIALLY_FIXED,FIXED,bossman-core/bossman_v3/execution/compound.py; bossman-core/bossman_v3/fleet/resume.py; Намерение записывается на диск непосредственно перед эффектом; неизвестный исход необратимого действия запрещает автоматический повтор.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
ASTRA-006,P2,OPEN,OPEN,FIXED,bossman-core/bossman_v3/benchmark_overlay/scorer.py; Нет событий recovery/context — нет максимальной оценки: null и отдельное покрытие измерений.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
ASTRA-SEC-101,P1,OPEN,OPEN,FIXED,bossman-core/bossman/toolkit/net.py; HTTP соединяется с проверенным IP через закреплённый транспорт; повторный DNS lookup и прокси окружения исключены.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
ASTRA-SEC-102,P2,OPEN,OPEN,FIXED,bossman-core/bossman/toolkit/net.py; Ответ читается потоком с лимитом передачи/распаковки 2 МБ и таймаутом; сохраняются очищенные данные.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
ASTRA-SEC-103,P1,OPEN,PARTIALLY_FIXED,FIXED,"tools/ci_secret_scan.py; ZIP проверяется рекурсивно, включая PEM и вложения с неверным расширением; повреждённые/слишком большие архивы — ошибка проверки.",aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
ASTRA-SEC-104,P2,OPEN,OPEN,FIXED,command-center/bcc/auth.py; Токен не печатается по умолчанию и в перенаправленный stdout; явный opt-in допустим только при интерактивном первом запуске.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
ASTRA-CI-101,P1,OPEN,OPEN,PARTIALLY_FIXED,.github/workflows/root-ci.yml; Сканер исправлен; tools/astra_branch_protection.py печатает/проверяет/применяет конкретную политику required checks. GitHub-настройки и CI нового коммита требуют внешней приёмки.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Exact-SHA CI / Windows / sandbox / branch protection acceptance
ASTRA-CI-102,P2,OPEN,OPEN,PARTIALLY_FIXED,.github/workflows/bossman-core-ci.yml; Убраны swallowed errors и continue-on-error; SAST/SCA блокируют сбой/находки и сохраняют JSON/логи даже при ошибке. Минимум cryptography поднят до проверенной 50.0.1.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Exact-SHA CI / Windows / sandbox / branch protection acceptance
ASTRA-CI-103,P2,OPEN,OPEN,PARTIALLY_FIXED,.github/workflows/bossman-core-ci.yml; Добавлена матрица Ubuntu/Windows; POSIX mode 600 проверяется на POSIX. Реальный прогон Windows здесь НЕ ВЫПОЛНЯЛСЯ.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Exact-SHA CI / Windows / sandbox / branch protection acceptance
ASTRA-CI-104,P2,OPEN,OPEN,PARTIALLY_FIXED,.github/workflows/command-center-ci.yml; Добавлены ограниченные по времени прогоны без пропусков и отдельный opt-in job настоящей sandbox. Два runner-сценария прошли локально; GitHub/реальная sandbox ещё требуют прогона.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Exact-SHA CI / Windows / sandbox / branch protection acceptance
F001,P1,OPEN,OPEN,FIXED,bossman-core/bossman_v3/fleet/leases.py; Совместимые shared-аренды остаются действительными; exclusive конфликтует с любой действующей арендой. Продление проверяет всю lease capability.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
F002,P1,OPEN,PARTIALLY_FIXED,FIXED,bossman-core/bossman_v3/fleet/node_agent.py; Проверка аренды и защита от её замены выполняются на границе локальной мутации.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
F003,P1,OPEN,OPEN,FIXED,bossman-core/bossman_v3/fleet/queue.py; Завершение и освобождение очереди требуют node_id + claim_fence; старый работник не подтверждает новую аренду.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
F004,P1,OPEN,OPEN,FIXED,"bossman-core/bossman_v3/fleet/queue.py; Backoff, attempts и WAIT_HUMAN сохраняются в SQLite; повтор разрешается после срока/аутентифицированного решения.",aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
F005,P1,OPEN,OPEN,FIXED,bossman-core/bossman_v3/fleet/scheduler.py; RAM и GPU учитываются как единый пул; резервирование всех работ на узле атомарно.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
F006,P1,OPEN,PARTIALLY_FIXED,FIXED,bossman-core/bossman_v3/fleet/node_agent.py; Ограничения сохраняются; MINIMIZED-передача с непроверенными inputs/steps/metadata блокируется.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
O001,P1,OPEN,OPEN,FIXED,bossman-core/bossman_v3/organization/marketplace.py; Private/local_only исключают cloud-tier; ограничения передаются до фактического вызова провайдера и fallback.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
O002,P1,OPEN,OPEN,FIXED,bossman-core/bossman_v3/organization/store.py; Intake миссии и её работ атомарен; существующий work_id нельзя присвоить другой миссии/отделу.,aca9025526fd1468e0c7741c10da601ebe4a3b7c (local; reconciled with 87bf7c7),Local regression passed; deployment acceptance remains separate
